epoch,acc,loss,val_acc,val_loss
0,0.8734583322269222,0.4143431331962347,0.9646666705608368,0.11815832698096831
1,0.9615416650970777,0.12411586951153973,0.9766666760047277,0.0785361054741467
2,0.9723125065366427,0.08612731461180374,0.9816666752099991,0.05938604141507919
3,0.9783125119904678,0.06903002344382306,0.982666677236557,0.05128491781651974
4,0.9815000139176846,0.058165672045045844,0.986833342909813,0.042360928082295385
5,0.9837083448966344,0.05157521024423962,0.985833344856898,0.041473162940625724
6,0.9858750122288863,0.043366551554451384,0.9876666764418284,0.041174287161751026
7,0.9876250110566616,0.038679908654497316,0.9890000094970067,0.036490862597323336
8,0.9884375102818013,0.03524477678971986,0.9892500082651774,0.0362783426954896
9,0.9901666760444641,0.031453454389702526,0.9898333410422008,0.036179099773410904
